Population,area_km2,population_density,claimant_rate,poi_count,IncScore,month_nr,burglary_lag_1,burglary_lag_3,burglary_lag_12,burglary_rolling_mean_3,burglary_volatility_3,burglary_rolling_mean_6,burglary_rolling_std_6,burglary_rolling_mean_12,burglary_volatility_12,burglary_rolling_max_3,burglary_rolling_min_3,burglary_rolling_max_6,burglary_rolling_min_6,burglary_rolling_max_12,burglary_rolling_min_12,burglary_trend_3_12,burglary_trend_6_12
0.04440087,0.020515403,-0.0039829966,0.014244938,0.027332893,0.011498429,0.06145344,-5.3070344e-05,-0.00013987425,-0.025545664,0.030338641,0.02805681,0.029092107,0.0011271338,0.07584501,-0.0052241557,-0.007554861,-0.00080088986,-0.006257488,-0.0001121687,0.004132603,-5.680008e-05,0.0050831037,-0.002254532
0.00034125283,-0.003332175,0.008638606,0.06200531,-0.041480068,0.0076505346,0.06642839,-0.0002524841,-0.00042643276,0.019551923,-0.02008582,0.0011321732,-0.06460475,0.00033251755,-0.12042261,0.005491161,-0.0017101482,-0.0014888745,2.507124e-06,-0.00018158955,-0.0005969424,-0.00019464997,-0.0010252472,0.0048398557
0.021002986,0.0007814664,0.01807229,-0.09854713,-0.072302185,0.0064446386,0.041737348,-0.00022477987,-0.00064664084,0.015686434,-0.02842732,4.730068e-05,-0.06114684,0.0010460191,-0.16670603,-0.002867442,-0.0024006912,-0.0017596591,-0.00082953443,-0.0002143511,-0.00060414436,-0.00011172207,-0.0003686707,-0.00063461496
-0.0024948586,-0.0011491952,-0.004954872,0.034257855,-0.061341327,-0.018786283,-0.028076049,-2.7043507e-05,-0.0014834874,-0.0014133785,-0.01809878,-0.00071005244,-0.069349855,-0.0018219311,-0.15285389,0.0016201327,-0.0022758404,-0.00062575395,0.000105246196,-0.00018178349,-0.00017808012,-7.085109e-05,-0.00073252944,0.0049477783
-0.011007965,0.00075142266,0.016598402,0.035728928,0.04247938,0.007478464,-0.019074706,0.00021816553,-0.0013544783,-0.018458273,0.01912635,0.0012911796,0.026717877,0.002378757,0.040683523,0.0068817306,-0.0003565501,-0.0008830974,0.00026832134,-0.00010225854,-0.00038089935,-0.0005306813,0.006264471,0.0026661686
-0.0341496,-0.0015194471,-0.003927969,0.04068812,-0.03606961,-0.027172789,0.07461068,-3.4468932e-05,0.0014315085,-0.012443548,-0.02238802,0.00042810678,0.021363012,0.00020208192,-0.052103937,0.0017722636,-0.0028680814,-0.00096318417,-0.0003840568,-0.00013509202,0.00058407255,-9.837173e-05,-0.0011343531,-0.01680339
0.024293456,-0.011428388,-0.008110408,0.0080074975,-0.048900913,0.009507554,-0.05653074,0.000269447,-0.00025538894,-0.018134099,-0.002994057,-0.0002987562,0.026817221,0.0006115836,0.06749452,0.004592258,-0.004396387,-0.0006610181,0.00010308075,-0.00014461833,0.00038993443,-2.7191374e-05,-0.0011397159,-0.007310766
0.081679784,-0.021796487,-0.0052138837,-0.05900418,-0.02632177,0.0060362355,-0.014111928,-0.00026340448,0.013432683,-0.010491447,-0.025441077,0.00023800797,0.11628011,0.0006140771,0.26146686,0.00859766,-0.0024553742,-0.0018753172,-0.0011009178,-0.000417963,-0.0005599981,-0.00013833157,-0.018620493,0.025024477
-0.019639079,0.00229227,-0.011577121,0.031855825,-0.09380609,-0.015192133,-0.0674093,0.00030590082,-0.00019799545,-0.014418615,-0.020906087,-0.00039883115,0.023306204,0.0004174009,-0.02977335,0.0059329527,-0.0016722719,-0.00059967645,0.00039756487,-0.00017775882,-0.0004131639,-9.5003044e-05,-0.0042608585,-0.005728099
0.0066280495,0.005726488,0.0016086061,0.16228656,-0.044787373,0.012837977,0.07866569,4.0874347e-06,-0.00016619271,0.0013962706,-0.009638405,0.0007374756,-0.022638837,0.001371105,-0.05908026,0.0082681915,0.0012738488,-0.00077244546,0.00029245974,-0.00015875275,-0.0008897512,-5.9553822e-05,-0.0009193206,-0.004164721
-0.03198086,-0.0043499093,-0.012290445,-0.06148112,0.105957955,0.013017071,-0.039038673,-0.0012727864,-0.00020824742,-0.019072982,0.018073207,-7.300236e-05,0.039904326,0.0027166721,0.20119135,0.008784948,0.0004081843,-0.001432164,0.00013028237,-0.0001236228,0.00030148777,-9.609568e-05,0.008127312,0.027207175
0.06236969,7.0047827e-06,-0.006083239,-0.10119318,-0.09273848,0.006192834,-0.00018982738,-3.393278e-05,-0.0007127083,-0.014311303,-0.022015158,0.0003928414,-0.04551653,-0.00048625306,-0.15786731,0.0012287761,-0.0024980886,-0.00087785814,0.00078925584,-0.00031322739,-0.0006336589,-6.5783584e-05,-0.0006616786,-0.0041596848
-0.0071401843,-0.0011043784,0.005458566,0.012128813,-0.0771699,0.005555775,-0.035763375,-7.4336185e-06,-0.0006412215,0.0047186133,-0.0024872804,0.00012880834,-0.04689243,0.001626368,-0.14666055,0.0015932076,-0.0015866224,-0.0012714573,-1.38101e-05,-0.00017726919,0.0003830664,-0.00013752951,0.0037509701,-0.0047270465
-0.019094521,-0.0032587934,-0.011771488,-0.069798745,-0.037267786,-0.022001913,-0.0059761405,0.00038333767,-0.0015317638,-0.0129511915,0.015679944,0.0020625119,0.0014831659,0.002272339,-0.018343331,0.00594696,0.0014565623,-0.0003398411,0.00055970007,-0.00012937922,-0.00040266718,-7.6804245e-05,0.0059997784,-0.0004658846
-0.0019669367,0.0019254035,0.009423607,0.039109793,-0.001999369,-0.012472557,0.042057417,-6.998746e-05,-0.0002695633,-0.014022407,-0.021144133,0.0014252632,-0.026551833,0.00089659216,-0.11019719,0.0064242417,-0.0010717652,-0.00097565237,0.00023917717,-0.00012737888,-0.00054938265,-0.00036450062,-0.000579813,-0.009177257
-0.03549606,-0.021614175,0.0002782755,0.02994579,-0.018357929,-0.018639738,0.04044252,-7.2001516e-05,-0.00019233188,-0.010284479,-0.022541374,-0.0014563059,-0.076735936,-0.003932805,-0.022034774,0.009913521,-0.002858523,-0.0017367788,-2.6605103e-06,-0.0001376821,-5.0394796e-05,-9.329327e-05,-0.009740052,0.028661108
0.06486206,-0.00051823177,0.005281619,0.083449535,-0.0033330705,-0.0038194207,0.019914007,0.0019059996,-0.018446602,0.006372904,0.08044032,0.13605379,0.10551758,0.000992163,0.31394893,-0.0044343453,0.0784026,-0.0017704815,-1.2941501e-05,-0.0020934604,0.002730336,-3.3973072e-05,0.013654172,-0.013212374
-0.019501342,-0.0012825769,-0.008646845,-0.089519165,-0.03354338,-0.0058675227,0.0055314563,-1.087827e-05,-0.00039561334,-0.010766627,-0.015154919,0.0010480867,-0.02288577,0.0023095284,-0.114521556,0.004591367,-0.0019120957,-0.0008074635,0.00039862536,-0.00012477473,-0.00036610148,-1.1727323e-05,-0.0017360696,-0.013283409
